id;image;image_content_type;uuid
1;../fake-data/blob/hipster.png;image/png;7b0112d6-14ed-42e6-805e-82eee2777c35
2;../fake-data/blob/hipster.png;image/png;34ea7307-6b03-4f82-a208-336e7f597f4c
3;../fake-data/blob/hipster.png;image/png;e65727c8-4322-4767-a57f-9ae2a9f1a018
4;../fake-data/blob/hipster.png;image/png;baf5824d-bfb0-4ed7-adeb-c64e08eebde7
5;../fake-data/blob/hipster.png;image/png;f1b2d44e-8b5a-4528-852b-f329efece3b3
6;../fake-data/blob/hipster.png;image/png;711f77a5-df3a-4e45-aa61-412e8429b752
7;../fake-data/blob/hipster.png;image/png;4b321461-7a26-4b36-8552-bd6e8376f40c
8;../fake-data/blob/hipster.png;image/png;ca703ba0-ca43-4534-b897-dca6a1c884c8
9;../fake-data/blob/hipster.png;image/png;d5a03f34-90df-4f2f-b06d-c448feb3439b
10;../fake-data/blob/hipster.png;image/png;db5562f0-48e7-4003-967c-d965023a3c39
