id;tinh;matinh;quanhuyen;maquanhuyen;phuongxa;maphuongxa
1;throughput fault-tolerant Multi-layered;72873;Camp;21493;Towels Chair;61
2;redundant SMS Licensed Concrete Pizza;46323;secondary;32125;azure yellow;48894
3;sensor;37464;Cambridgeshire Dynamic;14625;HTTP magenta primary;16979
4;payment JSON;32724;Rustic invoice;47909;payment Practical Plastic Shoes;88253
5;Unbranded Wooden Soap;91761;calculating Automotive calculating;77631;invoice Borders;4078
6;cutting-edge;56907;secured line New York;26496;Unbranded Bedfordshire hacking;28078
7;XSS Infrastructure;80441;data-warehouse;49149;Awesome;33715
8;Analyst;60765;Automotive knowledge base;47104;e-commerce;72171
9;metrics generating Savings Account;45189;Mississippi;13835;optical granular;70413
10;Auto Loan Account Lilangeni Small;4243;parse;27443;Gourde US Dollar compress Awesome;30856
